City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,byron bay,-28.65,153.6167,26.08,77,100,3.8,AU,1675546729
188,lagoa,39.05,-27.9833,15.07,88,3,8.31,PT,1675547026
189,jalalabad,34.4265,70.4515,7.99,44,34,2.61,AF,1675547026
190,kloulklubed,7.0419,134.2556,27.96,76,98,8.1,PW,1675546779
191,kearney,40.6995,-99.0815,5.95,58,0,8.23,US,1675546740
192,tadine,-21.55,167.8833,28.02,84,99,8.07,NC,1675547027
193,oxford,51.7522,-1.256,8.44,89,100,1.54,GB,1675547028
194,halifax,44.6453,-63.5724,-14.0,69,81,11.32,CA,1675546553
195,santa cruz,-17.8,-63.1667,28.03,61,75,3.09,BO,1675547020
196,tromso,69.6496,18.957,0.21,74,0,4.63,NO,1675547029
197,shubarkuduk,49.1447,56.4872,-14.95,89,94,4.79,KZ,1675546988
198,antalaha,-14.9003,50.2788,24.0,88,28,2.33,MG,1675547029
199,tasiilaq,65.6145,-37.6368,-3.91,82,100,8.6,GL,1675546794
200,ciudad guayana,8.3533,-62.6528,27.51,75,79,4.66,VE,1675547030
201,hualmay,-11.0964,-77.6139,23.77,76,95,3.38,PE,1675547031
202,leh,34.1667,77.5833,-15.51,83,77,0.99,IN,1675547031
203,akyab,20.15,92.9,17.16,63,83,3.64,MM,1675547031
204,kharakvasla,18.4333,73.7667,20.12,35,8,1.01,IN,1675547032
205,pevek,69.7008,170.3133,-37.42,100,93,0.74,RU,1675547032
206,te anau,-45.4167,167.7167,18.85,98,100,1.19,NZ,1675546814
207,xushan,30.1764,121.2457,8.87,95,100,2.4,CN,1675547033
208,sept-iles,50.2001,-66.3821,-18.86,69,75,10.29,CA,1675546957
209,kulhudhuffushi,6.6221,73.07,26.67,78,100,2.08,MV,1675547034
210,pontianak,-0.0333,109.3333,23.99,94,100,0.51,ID,1675547034
211,hohhot,40.8106,111.6522,-10.84,62,0,2.0,CN,1675547035
212,gushikawa,26.3544,127.8686,16.57,94,75,3.6,JP,1675547012
213,east london,-33.0153,27.9116,23.7,83,100,5.29,ZA,1675546908
214,katherine,-14.4667,132.2667,23.18,94,37,0.0,AU,1675547036
215,geraldton,-28.7667,114.6,21.23,94,75,3.09,AU,1675546917
216,roma,43.2128,-75.4557,-10.66,51,100,5.14,US,1675546986
217,yakima,46.4665,-120.6678,7.53,71,20,0.0,US,1675547037
218,esmeraldas,-19.7625,-44.3139,32.06,75,36,0.71,BR,1675547038
219,paamiut,61.994,-49.6678,-4.13,77,100,12.53,GL,1675547039
220,inongo,-1.95,18.2667,24.09,83,100,3.1,CD,1675547039
221,haines junction,60.7522,-137.5108,-9.03,67,100,0.51,CA,1675547040
222,katsuura,35.1333,140.3,6.33,68,8,6.03,JP,1675547040
223,loa janan,-0.583,117.095,22.46,98,100,1.05,ID,1675547041
224,salinopolis,-0.6136,-47.3561,25.71,87,98,5.44,BR,1675546826
225,ugoofaaru,5.6667,73.0,26.94,76,100,2.51,MV,1675546964
226,sitapur,27.5667,80.6833,12.77,60,0,3.36,IN,1675547042
227,along,28.1667,94.7667,10.94,56,20,0.73,IN,1675547042
228,mahebourg,-20.4081,57.7,26.16,89,40,2.06,MU,1675546893
229,puerto ayora,-0.7393,-90.3518,29.98,88,51,3.13,EC,1675547044
230,tabuk,17.4189,121.4443,18.43,88,94,1.4,PH,1675547044
231,bati,11.1833,40.0167,17.96,55,22,1.6,ET,1675547045
232,arlit,18.7369,7.3853,22.64,11,17,5.05,NE,1675547046
233,okhotsk,59.3833,143.3,-26.86,82,40,4.97,RU,1675547000
234,sabzevar,36.2126,57.6819,3.82,40,51,2.4,IR,1675547047
235,waipawa,-41.4122,175.5153,23.22,64,13,3.3,NZ,1675547048
236,tobol,52.6844,62.5794,-21.31,100,57,2.73,KZ,1675547049
237,villamartin,36.8598,-5.6449,11.31,81,0,1.4,ES,1675547050
238,tooele,40.5308,-112.2983,7.21,66,70,1.13,US,1675547050
239,srivardhan,18.0333,73.0167,22.84,54,1,1.59,IN,1675547051
240,nanortalik,60.1432,-45.2371,-3.53,74,99,7.48,GL,1675547052
241,lavrentiya,65.5833,-171.0,-24.59,94,93,3.02,RU,1675547052
242,nanyang,32.9947,112.5328,2.14,79,41,1.46,CN,1675547053
243,namibe,-15.1961,12.1522,21.66,76,64,3.38,AO,1675547054
244,manggar,-2.8833,108.2667,25.28,88,100,2.61,ID,1675547055
245,vila velha,-20.3297,-40.2925,27.97,84,0,7.2,BR,1675546973
246,bilma,18.6853,12.9164,22.46,16,31,2.33,NE,1675547057
247,los llanos de aridane,28.6585,-17.9182,13.96,68,20,3.6,ES,1675547058
248,santa isabel,-23.3156,-46.2214,27.84,86,98,3.36,BR,1675547059
249,sovetskaya gavan,48.9723,140.2878,-22.44,94,35,1.83,RU,1675547059
250,chokurdakh,70.6333,147.9167,-30.92,97,75,3.61,RU,1675546791
251,oriximina,-1.7656,-55.8661,26.19,81,90,1.35,BR,1675547061
252,port hardy,50.6996,-127.4199,8.1,93,75,10.29,CA,1675546955
253,chulym,55.0997,80.9572,-21.16,100,100,1.8,RU,1675547066
254,buraydah,26.326,43.975,13.25,33,0,5.82,SA,1675547067
255,nemuro,43.3236,145.575,-5.85,74,35,3.74,JP,1675547068
256,gamba,-2.65,10.0,24.42,90,99,1.78,GA,1675547068
257,arawa,-6.2132,155.5367,25.66,89,99,1.0,PG,1675547069
258,kodinsk,58.6881,99.1844,-14.18,98,99,1.14,RU,1675547070
259,deputatskiy,69.3,139.9,-35.21,99,95,1.66,RU,1675547070
260,corum,40.5,34.75,-6.34,94,100,0.9,TR,1675547071
261,kindu,-2.95,25.95,21.16,97,86,1.71,CD,1675546797
262,wenling,28.3669,121.36,7.58,91,100,3.64,CN,1675547072
263,whitehorse,60.7161,-135.0538,-10.66,82,75,2.06,CA,1675547010
264,coihaique,-45.5752,-72.0662,28.97,26,20,4.63,CL,1675547072
265,eirunepe,-6.6603,-69.8736,24.82,92,94,1.31,BR,1675547073
266,kidal,18.4411,1.4078,21.45,10,97,5.28,ML,1675546958
267,vanimo,-2.6741,141.3028,25.69,86,100,1.51,PG,1675547073
268,ryotsu,38.0833,138.4333,1.86,60,60,4.63,JP,1675547074
269,panji,-7.7253,114.0995,23.67,90,100,1.79,ID,1675547075
270,severo-kurilsk,50.6789,156.125,-3.09,73,100,2.71,RU,1675546906
271,petropavlovsk-kamchatskiy,53.0452,158.6483,-16.67,66,40,4.0,RU,1675547076
272,dombarovskiy,50.7587,59.5386,-20.27,90,22,2.89,RU,1675547076
273,boa vista,2.8197,-60.6733,29.99,58,40,2.57,BR,1675546795
274,sorland,67.667,12.6934,2.92,91,100,18.0,NO,1675547077
275,skjervoy,70.0311,20.9714,-1.0,65,99,6.32,NO,1675547077
276,lar,26.2039,83.9717,11.17,65,2,2.7,IN,1675547078
277,sibu,2.3,111.8167,23.17,100,40,2.57,MY,1675547078
278,codrington,-38.2667,141.9667,15.15,78,100,2.61,AU,1675547079
279,zunyi,27.6867,106.9072,5.6,90,100,1.7,CN,1675547079
280,vila franca do campo,37.7167,-25.4333,14.23,84,3,3.2,PT,1675547080
281,markivka,49.5229,39.5705,-2.38,98,95,1.53,UA,1675547080
282,taraza,7.5836,-75.4007,29.59,67,98,1.52,CO,1675547081
283,mount isa,-20.7333,139.5,22.87,35,98,5.14,AU,1675547082
284,fort nelson,58.8053,-122.7002,-13.92,71,75,0.89,CA,1675547082
285,jackson,42.4165,-122.8345,16.19,45,0,1.54,US,1675546817
286,ladario,-19.0047,-57.6017,28.16,78,75,2.57,BR,1675547083
287,cockburn town,21.4612,-71.1419,25.98,65,40,6.17,TC,1675546970
288,fairbanks,64.8378,-147.7164,-11.02,77,100,1.54,US,1675546790
289,zelenoborskiy,66.845,32.3622,-15.17,95,83,1.41,RU,1675547084
290,lexington,37.9887,-84.4777,8.62,53,97,5.95,US,1675547045
291,yamoussoukro,6.8206,-5.2767,27.94,61,73,2.06,CI,1675547084
292,perm,58.0174,56.2855,-13.3,85,0,0.0,RU,1675546797
293,mecca,21.4267,39.8261,20.07,57,6,2.63,SA,1675546818
294,abilene,32.4487,-99.7331,14.87,49,0,8.23,US,1675546978
295,kazerun,29.6195,51.6541,9.23,66,71,0.8,IR,1675547085
296,deder,9.3167,41.45,12.11,54,9,2.87,ET,1675547086
297,ginda,30.6945,78.4932,6.09,26,0,3.79,IN,1675547086
298,kovur,14.4833,79.9833,20.11,86,3,1.55,IN,1675547087
299,iralaya,15.0,-83.2333,25.78,75,3,5.71,HN,1675547088
300,norman wells,65.282,-126.8329,-25.98,64,75,2.06,CA,1675547089
301,luwuk,-0.9516,122.7875,24.78,87,100,1.53,ID,1675547090
302,syracuse,37.0881,15.2792,8.51,75,0,3.49,IT,1675546929
303,wuhu,31.3366,118.3755,5.59,82,100,4.79,CN,1675547090
304,pisco,-13.7,-76.2167,24.03,83,0,4.12,PE,1675547078
305,amahai,-3.3333,128.9167,25.5,83,100,2.41,ID,1675547092
306,mumbwa,-14.9783,27.0619,18.23,95,100,1.64,ZM,1675547092
307,shache,38.4167,77.2406,-4.93,84,76,2.24,CN,1675547093
308,aklavik,68.2191,-135.0107,-36.0,68,20,1.03,CA,1675547093
309,pangoa,-12.1167,-73.0,22.27,98,96,0.86,PE,1675547094
310,shenjiamen,29.9576,122.298,7.71,88,100,4.34,CN,1675546949
311,yuli,9.6989,10.2744,26.47,19,74,2.69,NG,1675547095
312,teluknaga,-6.0989,106.6381,27.88,94,20,2.06,ID,1675547095
313,santa cruz de tenerife,28.4682,-16.2546,17.06,84,40,4.12,ES,1675546918
314,ahipara,-35.1667,173.1667,22.01,75,100,4.36,NZ,1675546878
315,manta,-0.95,-80.7333,27.88,74,75,3.6,EC,1675546877
316,rio gallegos,-51.6226,-69.2181,19.03,59,75,5.66,AR,1675546994
317,segou,13.4317,-6.2157,25.11,15,92,4.48,ML,1675547097
318,manaure,11.7751,-72.4445,28.7,56,34,6.83,CO,1675546921
319,denpasar,-8.65,115.2167,25.81,100,75,6.17,ID,1675547011
320,lebedyn,50.5852,34.4849,-2.72,98,100,1.7,UA,1675547098
321,tindivanam,12.25,79.65,19.9,87,26,2.25,IN,1675547098
322,saint-georges,12.0564,-61.7485,27.82,74,20,7.2,GD,1675547099
323,rawson,-43.3002,-65.1023,32.44,22,11,11.13,AR,1675547099
324,birjand,32.8663,59.2211,6.26,75,40,5.14,IR,1675547100
325,batagay-alyta,67.8006,130.4114,-35.89,94,98,1.03,RU,1675547100
326,rincon,32.296,-81.2354,12.98,56,20,5.66,US,1675547100
327,poum,-20.2333,164.0167,27.71,78,28,2.63,NC,1675547101
328,yamada,39.4667,141.95,-3.2,78,14,2.24,JP,1675547101
329,araceli,10.5529,119.9913,26.07,83,84,10.36,PH,1675547103
